"species_list"	"habitat_code"
"357"	"Hyperolius riggenbachi"	"1.9 4.7 5.4 5.7 5.8"
"358"	"Hyperolius spinigularis"	"1.6 1.9 5.4 5.7 5.8"
"359"	"Hyperolius viridigulosus"	"1.6"
"360"	"Kassina arboricola"	"14.6 1.6 5.7 5.8"
"361"	"Kassina lamottei"	"1.6 5.8"
"362"	"Morerella cyanophthalma"	"1.8 5.1"
"363"	"Paracassina kounhiensis"	"14.4 1.9 4.7 5.4 5.7 5.8"
"364"	"Leiopelma hamiltoni"	"1.4"
"365"	"Leiopelma pakeka"	"1.4"
"366"	"Leptodactylus nesiotus"	"5.4"
"367"	"Leptodactylus pascoensis"	"1.6 1.9 5.8"
"368"	"Leptodactylus peritoaktites"	"1.6"
"369"	"Physalaemus atlanticus"	"1.6 5.7 5.8"
"370"	"Heleioporus australiacus"	"1.5 1.6 3.5 5.1 5.2 5.7"
"371"	"Aglyptodactylus laticeps"	"1.5 5.8"
"372"	"Boehmantis microtympanum"	"14.6 1.6 1.9 5.1"
"373"	"Boophis andohahela"	"1.6 1.9 5.1"
"374"	"Boophis andreonei"	"1.6 1.9 5.1"
"375"	"Boophis blommersae"	"1.6 5.1"
"376"	"Boophis brachychir"	"14.6 1.5 1.6 1.9 2.2 5.1"
"377"	"Boophis englaenderi"	"14.6 1.6 5.1"
"378"	"Boophis fayi"	"1.6 5.2 5.4"
"379"	"Boophis majori"	"1.6 1.9 5.1"
"380"	"Boophis miniatus"	"14.6 1.6 5.1"
"381"	"Boophis popi"	"1.9 5.1"
"382"	"Boophis spinophis"	"1.9 5.1 5.4 5.7"
"383"	"Boophis ulftunni"	"1.6 1.9 5.1"
"384"	"Boophis vittatus"	"1.6 1.9 5.1"
"385"	"Gephyromantis ambohitra"	"1.6 1.9 5.1"
"386"	"Gephyromantis cornutus"	"1.6 1.9 5.1"
"387"	"Gephyromantis enki"	"14.6 1.6 1.9"
"388"	"Gephyromantis horridus"	"1.6 1.9"
"389"	"Gephyromantis rivicola"	"1.6"
"390"	"Gephyromantis runewsweeki"	"1.9 3.7"
"391"	"Gephyromantis salegy"	"1.6 1.9"
"392"	"Gephyromantis schilfi"	"14.6 1.9"
"393"	"Gephyromantis silvanus"	"1.6 7.1"
"394"	"Gephyromantis spiniferus"	"1.6 1.9"
"395"	"Gephyromantis striatus"	"1.6 1.9 5.1"
"396"	"Gephyromantis tahotra"	"1.9 5.1"
"397"	"Gephyromantis tandroka"	"1.6 1.9 5.1"
"398"	"Guibemantis kathrinae"	"14.6 1.6 5.1 5.4 5.7 5.8"
"399"	"Guibemantis tasifotsy"	"1.6 5.4"
"400"	"Mantella madagascariensis"	"1.6 1.9 5.1"
"401"	"Mantella manery"	"1.6 5.1 5.4 5.8"
"402"	"Mantella pulchra"	"1.6 1.8 5.4"
"403"	"Mantidactylus delormei"	"1.9 5.1"
"404"	"Mantidactylus noralottae"	"5.1 6"
"405"	"Spinomantis guibei"	"1.9 5.1 6"
"406"	"Spinomantis massi"	"1.6 1.9 5.1"
"407"	"Spinomantis tavaratra"	"1.6 1.9 5.1"
"408"	"Borneophrys edwardinae"	"1.6 5.1"
"409"	"Brachytarsophrys intermedia"	"1.6 1.9 5.1"
"410"	"Leptobrachella baluensis"	"1.6 1.9 5.1"
"411"	"Leptobrachella brevicrus"	"1.9 5.1"
"412"	"Leptobrachella parva"	"1.6 5.1"
"413"	"Leptobrachella serasanae"	"1.6 5.1"
"414"	"Leptobrachium banae"	"1.6 1.9 5.1"
"415"	"Leptobrachium gunungense"	"1.9 5.1"
"416"	"Leptobrachium hainanense"	"1.6 1.9 5.1"
"417"	"Leptobrachium leucops"	"1.9 5.1"
"418"	"Leptolalax arayai"	"1.6 1.9 5.1"
"419"	"Leptolalax firthi"	"1.9 5.1"
"420"	"Leptolalax hamidi"	"1.6 5.1"
