"species_list"	"threat_count"
"469"	"Mixophyes balbus"	"8"
"470"	"Pseudophryne australis"	"9"
"471"	"Spicospina flammocaerulea"	"8"
"472"	"Nyctibatrachus deccanensis"	"3"
"473"	"Nyctibatrachus humayuni"	"4"
"474"	"Nyctibatrachus major"	"5"
"475"	"Odontophrynus achalensis"	"3"
"476"	"Phrynobatrachus cricogaster"	"3"
"477"	"Phrynobatrachus kinangopensis"	"2"
"478"	"Phrynobatrachus steindachneri"	"4"
"479"	"Phrynobatrachus sulfureogularis"	"5"
"480"	"Phrynobatrachus villiersi"	"3"
"481"	"Agalychnis litodryas"	"3"
"482"	"Anhydrophryne rattrayi"	"4"
"483"	"Strongylopus kitumbeine"	"2"
"484"	"Strongylopus rhodesianus"	"3"
"485"	"Amnirana longipes"	"4"
"486"	"Amolops jinjiangensis"	"1"
"487"	"Amolops kangtingensis"	"2"
"488"	"Amolops loloensis"	"5"
"489"	"Amolops torrentis"	"4"
"490"	"Amolops tuberodepressus"	"1"
"491"	"Huia masonii"	"1"
"492"	"Indosylvirana aurantiaca"	"4"
"493"	"Lithobates bwana"	"5"
"494"	"Lithobates chiricahuensis"	"6"
"495"	"Lithobates macroglossa"	"4"
"496"	"Lithobates megapoda"	"6"
"497"	"Lithobates miadis"	"2"
"498"	"Lithobates okaloosae"	"2"
"499"	"Lithobates sierramadrensis"	"2"
"500"	"Lithobates tarahumarae"	"10"
"501"	"Lithobates vibicarius"	"5"
"502"	"Meristogenys amoropalamus"	"1"
"503"	"Meristogenys jerboa"	"0"
"504"	"Odorrana geminata"	"1"
"505"	"Odorrana hainanensis"	"7"
"506"	"Odorrana jingdongensis"	"5"
"507"	"Odorrana junlianensis"	"3"
"508"	"Odorrana nasuta"	"3"
"509"	"Odorrana tormota"	"4"
"510"	"Papurana waliesa"	"2"
"511"	"Pelophylax chosenicus"	"3"
"512"	"Pelophylax epeiroticus"	"10"
"513"	"Pseudorana weiningensis"	"2"
"514"	"Pterorana khare"	"1"
"515"	"Rana draytonii"	"12"
"516"	"Rana latastei"	"11"
"517"	"Rana longicrus"	"5"
"518"	"Rana pretiosa"	"4"
"519"	"Sanguirana igorota"	"7"
"520"	"Sanguirana tipanan"	"6"
"521"	"Sylvirana spinulosa"	"4"
"522"	"Indirana leithii"	"4"
"523"	"Buergeria oxycephala"	"4"
"524"	"Chiromantis samkosensis"	"4"
"525"	"Gracixalus jinxiuensis"	"2"
"526"	"Gracixalus quangi"	"2"
"527"	"Philautus acutirostris"	"5"
"528"	"Philautus acutus"	"0"
"529"	"Philautus amoenus"	"0"
"530"	"Philautus bunitus"	"1"
"531"	"Philautus erythrophthalmus"	"1"
"532"	"Philautus garo"	"1"
"533"	"Philautus gunungensis"	"0"
"534"	"Philautus ingeri"	"1"
"535"	"Philautus leitensis"	"3"
"536"	"Philautus pallidipes"	"1"
"537"	"Philautus poecilius"	"6"
"538"	"Philautus refugii"	"0"
"539"	"Philautus saueri"	"0"
"540"	"Philautus tectus"	"1"
"541"	"Philautus umbra"	"0"
"542"	"Philautus worcesteri"	"4"
"543"	"Pseudophilautus hallidayi"	"5"
"544"	"Raorchestes bobingeri"	"1"
"545"	"Raorchestes bombayensis"	"5"
"546"	"Raorchestes chromasynchysi"	"2"
"547"	"Raorchestes dubois"	"0"
"548"	"Raorchestes glandulosus"	"2"
"549"	"Raorchestes graminirupes"	"1"
"550"	"Rhacophorus annamensis"	"4"
"551"	"Rhacophorus bimaculatus"	"3"
"552"	"Rhacophorus fasciatus"	"1"
"553"	"Rhacophorus marmoridorsum"	"1"
"554"	"Rhacophorus spelaeus"	"4"
"555"	"Rhacophorus yinggelingensis"	"1"
"556"	"Theloderma bambusicolum"	"1"
"557"	"Theloderma margaritifer"	"2"
"558"	"Theloderma moloch"	"1"
"559"	"Theloderma spinosum"	"4"
"560"	"Telmatobius arequipensis"	"4"
"561"	"Telmatobius carrillae"	"1"
"562"	"Telmatobius hauthali"	"4"
"563"	"Telmatobius hintoni"	"2"
"564"	"Telmatobius hockingi"	"5"
"565"	"Telmatobius huayra"	"3"
"566"	"Telmatobius marmoratus"	"6"
"567"	"Telmatobius oxycephalus"	"1"
"568"	"Telmatobius peruvianus"	"7"
"569"	"Telmatobius sanborni"	"0"
"570"	"Telmatobius verrucosus"	"5"
"571"	"Telmatobius yuracare"	"5"
"572"	"Ambystoma bishopi"	"7"
"573"	"Ambystoma californiense"	"8"
"574"	"Ambystoma cingulatum"	"7"
"575"	"Batrachuperus karlschmidti"	"2"
"576"	"Batrachuperus pinchonii"	"5"
"577"	"Batrachuperus tibetanus"	"6"
"578"	"Batrachuperus yenyuanensis"	"2"
"579"	"Hynobius arisanensis"	"1"
"580"	"Hynobius boulengeri"	"5"
"581"	"Hynobius stejnegeri"	"4"
