"species_list"	"threat_code"
"247"	"Ameerega cainarachi"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.1 2.3.2"
"248"	"Ameerega pongoensis"	"2.1 2.1.2 5.1 5.1.1"
"249"	"Andinobates altobueyensis"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.1 5.1.1 5.2 5.2.4 5.3 5.3.5 9.3 9.3.4"
"250"	"Andinobates daleswansoni"	"5.1 5.1.1 5.2 5.2.2 5.3 5.3.3"
"251"	"Andinobates dorisswansonae"	"2.1 2.1.2 2.3 2.3.2 5.1 5.1.1 5.3 5.3.5"
"252"	"Andinobates opisthomelas"	"2.1 2.1.2 2.2 2.2.1 2.3 2.3.2 5.1 5.1.1 5.2 5.2.4 5.3 5.3.5 9.3 9.3.4"
"253"	"Andinobates tolimensis"	"2.1 2.1.2"
"254"	"Andinobates viridis"	"1.1 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.2 5.2.4 5.3 5.3.5 9.3 9.3.4"
"255"	"Hyloxalus awa"	"2.1 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.1 9.3 9.3.4"
"256"	"Hyloxalus pulchellus"	"1.1 11.5 2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1 8.1.1 8.1.2 9.3 9.3.3"
"257"	"Hyloxalus vergeli"	""
"258"	"Oophaga granulifera"	"1.1 1.3 2.1 2.1.3 2.3 2.3.3 5.1 5.1.1 5.3 5.3.5"
"259"	"Ranitomeya benedicta"	"2.1 2.1 2.1.2 2.1.3 5.1 5.1.1 5.3 5.3.1"
"260"	"Ingerana borealis"	"2.1 2.1.2 5.3 5.3.5 9.3 9.3.3"
"261"	"Limnonectes acanthi"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 5.1 5.1.1 5.3 5.3.5 9.2 9.2.2 9.3 9.3.2 9.3.3"
"262"	"Limnonectes diuatus"	"1.1 2.1 2.1.1 2.1.2 2.1.3 5.1 5.1.1 5.3 5.3.5 9.2 9.2.2 9.3 9.3.2 9.3.3"
"263"	"Limnonectes fragilis"	"2.1 2.1.1 4.1 5.3 5.3.5 7.2 7.2.11"
"264"	"Limnonectes heinrichi"	"2.1 2.1.2"
"265"	"Limnonectes liui"	"1.3 2.1 2.1.2 2.1.3 5.3 5.3.5"
"266"	"Limnonectes macrodon"	"5.1 5.1.1 5.3 5.3.5 9.3 9.3.2 9.3.4"
"267"	"Limnonectes parvus"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 9.2 9.2.3 9.3 9.3.2 9.3.4"
"268"	"Limnonectes visayanus"	"1.1 1.2 2.1 2.1.2 2.1.3 2.3 2.3.3 5.1 5.1.1 5.3 5.3.5 9.2 9.2.2 9.3 9.3.2 9.3.3"
