"species_list"	"threat_code"
"163"	"Craugastor aurilegulus"	"10.3 1.1 11.2 11.4 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.1 2.3.2 2.3.3 5.3 5.3.5 7.1 7.1.3 8.2 9.1 9.1.1 9.1.3 9.3 9.3.2 9.3.4"
"164"	"Craugastor azueroensis"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2"
"165"	"Craugastor charadra"	"2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 9.3 9.3.4"
"166"	"Craugastor daryi"	"2.1 2.1.2 2.1.3 5.3 5.3.5 8.1 8.1.2 9.3 9.3.4"
"167"	"Craugastor hobartsmithi"	"1.1 2.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"168"	"Craugastor inachus"	"2.1 2.1.4 5.3 5.3.5 8.1 8.1.2 9.3 9.3.4"
"169"	"Craugastor laevissimus"	"1.1 11.5 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 7.1 7.1.1 8.1 8.1.2 9.3 9.3.3 9.3.4"
"170"	"Craugastor lauraster"	"1.1 11.2 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.1 2.3.2 2.3.3 5.3 5.3.5 7.1 7.1.3 9.1 9.1.1 9.1.3 9.3 9.3.2 9.3.4"
"171"	"Craugastor montanus"	"2.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"172"	"Craugastor omiltemanus"	"2.1 2.1.1 2.1.2 2.3 2.3.1 5.3 5.3.5 8.1 8.1.2"
"173"	"Craugastor pechorum"	"2.1 2.1.4 5.3 5.3.5 8.1 8.1.2"
"174"	"Craugastor punctariolus"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.2 7.2.11 8.1 8.1.1 9.1 9.1.3 9.3 9.3.4"
"175"	"Craugastor rhyacobatrachus"	"1.1 2.1 2.1.3 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 9.3 9.3.4"
"176"	"Craugastor sandersoni"	"1.1 11.4 2.1 2.1.2 2.1.3 5.3 5.3.5 8.1 8.1.2 9.3 9.3.2 9.3.4"
"177"	"Craugastor silvicola"	"1.1 2.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"178"	"Craugastor spatulatus"	"2.1 2.1.2 5.3 5.3.5"
"179"	"Craugastor stuarti"	"2.1 2.1.1 2.1.2 5.3 5.3.5"
"180"	"Craugastor uno"	"2.1 2.1.1 2.1.2 5.3 5.3.5"
"181"	"Craugastor vulcani"	""
"182"	"Cryptobatrachus boulengeri"	"1.1 2.1 2.1.2 5.3 5.3.5 6.1 6.2"
"183"	"Cryptotriton alvarezdeltoroi"	"1.1 2.1 2.1.2 5.3 5.3.5"
"184"	"Cryptotriton nasalis"	"11.2 2.1 2.1.1 2.1.2 5.3 5.3.5 9.3 9.3.3"
"185"	"Ctenophryne carpish"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"186"	"Cynops ensicauda"	"1.1 4.1 5.1 5.1.1 5.3 5.3.5 8.1 8.1.1"
"187"	"Dendrophryniscus carvalhoi"	"1.1 2.1 2.1.2 2.3 2.3.2 5.2 5.2.4 5.3 5.3.5"
"188"	"Dendropsophus gryllatus"	"2.1 2.1.3 5.3 5.3.5 9.1 9.1.3 9.3 9.3.4"
"189"	"Dendropsophus meridensis"	"2.1 2.1.1 2.1.2 2.3 2.3.2 8.1 8.1.2 9.1 9.1.3 9.3 9.3.4"
"190"	"Dendrotriton kekchiorum"	"2.1 2.1.2 4.1 5.3 5.3.1"
"191"	"Didynamipus sjostedti"	"1.1 2.1 2.1.2 5.3 5.3.5"
"192"	"Duellmanohyla chamulae"	"2.1 2.1.1 2.1.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2"
"193"	"Duellmanohyla ignicolor"	"1.1 8.1 8.1.2 9.1 9.1.3"
"194"	"Duellmanohyla lythrodes"	"1.1 2.1 2.1.2 5.3 5.3.5 8.1 8.1.2"
"195"	"Duellmanohyla soralia"	"11.2 11.4 2.1 2.1.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.5 8.1 8.1.2 9.1 9.1.3 9.3 9.3.2 9.3.4"
"196"	"Duellmanohyla uranochroa"	"2.1 2.1.2 8.1 8.1.2"
"197"	"Duttaphrynus beddomii"	"1.1 2.1 2.1.2 2.1.3 2.2 2.2.2"
"198"	"Duttaphrynus kotagamai"	"2.1 2.1.2 6.1"
"199"	"Duttaphrynus noellerti"	"5.3 5.3.5 9.3 9.3.3"
"200"	"Echinotriton andersoni"	"1.3 4.1 5.1 5.1.1 5.3 5.3.5"
"201"	"Ecnomiohyla fimbrimembra"	"2.3 2.3.2"
"202"	"Ecnomiohyla minera"	"2.1 2.1.1 2.1.2 2.1.3 5.3 5.3.5 9.3 9.3.4"
"203"	"Ecnomiohyla phantasmagoria"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 9.3 9.3.4"
"204"	"Eleutherodactylus acmonis"	"1.3 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 6.1"
"205"	"Eleutherodactylus adelus"	"5.3 5.3.5 7.1 7.1.3"
"206"	"Eleutherodactylus alcoae"	"1.1 2.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3"
"207"	"Eleutherodactylus amplinympha"	"1.1 2.1 2.1.2 5.3 5.3.5"
"208"	"Eleutherodactylus andrewsi"	"1.3 2.1 2.1.2 5.3 5.3.5"
"209"	"Eleutherodactylus armstrongi"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.3"
"210"	"Eleutherodactylus auriculatoides"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"211"	"Eleutherodactylus barlagnei"	"10.1 1.1 2.1 2.1.2 2.1.3 2.4 2.4.3 4.1 5.3 5.3.5 6.1 8.1 8.1 8.1 8.1 8.1.2 8.1.2 8.1.2 8.1.2 9.1 9.1.3 9.2 9.2.3 9.3 9.3.3 9.3.4"
"212"	"Eleutherodactylus casparii"	"1.3 2.1 2.1.1 2.1.2 5.3 5.3.5 6.1"
"213"	"Eleutherodactylus counouspeus"	"2.1 2.1.2 5.3 5.3.5"
"214"	"Eleutherodactylus dennisi"	"5.3 5.3.5"
"215"	"Eleutherodactylus dilatus"	"2.1 2.1.1 2.1.2 5.3 5.3.5"
"216"	"Eleutherodactylus diplasius"	"2.1 2.1.1 5.3 5.3.3"
"217"	"Eleutherodactylus emiliae"	"1.3 2.1 2.1.1 2.1.2 6.1"
"218"	"Eleutherodactylus etheridgei"	"1.1 1.3 6.1"
"219"	"Eleutherodactylus glamyrus"	"1.1 1.3 2.1 2.1.2 5.3 5.3.5 6.1"
"220"	"Eleutherodactylus glaphycompus"	"2.1 2.1.2 5.3 5.3.5"
"221"	"Eleutherodactylus grabhami"	"1.1 2.1 2.1.2 3.2 5.3 5.3.5"
"222"	"Eleutherodactylus grahami"	"2.1 2.1.2 5.3 5.3.5"
"223"	"Eleutherodactylus greyi"	"1.3 2.1 2.1.1 2.1.2 6.1"
"224"	"Eleutherodactylus gryllus"	"1.1 11.5 1.3 2.1 2.1.2 4.2 5.3 5.3.5 6.1 8.1 8.1 8.1.2 8.1.2"
"225"	"Eleutherodactylus guanahacabibes"	"1.3 4.1 6.1"
"226"	"Eleutherodactylus gundlachi"	"1.1 1.3 2.1 2.1.2 5.3 5.3.5 6.1"
"227"	"Eleutherodactylus haitianus"	"2.1 2.1.1 2.1.2 6.1"
"228"	"Eleutherodactylus hedricki"	"11.5 8.1 8.1.2"
"229"	"Eleutherodactylus heminota"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"230"	"Eleutherodactylus hypostenor"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"231"	"Eleutherodactylus intermedius"	"1.1 2.1 2.1.2 5.3 5.3.5 6.1"
"232"	"Eleutherodactylus ionthus"	"1.1 2.1 2.1.2 5.3 5.3.5 6.1"
