"species_list"	"habitat_code"
"443"	"Minervarya sahyadris"	"14.2 14.6 15.5 15.8 4.6 5.1"
"444"	"Mixophyes fleayi"	"1.6 5.1 5.2"
"445"	"Mixophyes iteratus"	"14.1 14.2 1.6 5.1"
"446"	"Nannophrys naeyakai"	"2.1 5.2 6"
"447"	"Nanorana maculosa"	"1.9 5.1"
"448"	"Nanorana unculuanus"	"15.9 1.9 4.6 5.1 5.7 5.8"
"449"	"Nanorana yunnanensis"	"15.3 15.7 15.9 1.6 1.9 4.7 5.1 5.4 5.7 5.8"
"450"	"Nasikabatrachus sahyadrensis"	"14.6 15.9 1.6 1.9 5.7 5.8"
"451"	"Natalobatrachus bonebergi"	"1.6 5.1"
"452"	"Nectophrynoides cryptus"	"14.3 1.6"
"453"	"Nectophrynoides minutus"	"1.9"
"454"	"Nectophrynoides vestergaardi"	"1.9"
